 "lexp" , "perf" , "perflabel" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/7971f8bfc77ea67cbe659ca8517fb019/1450292816429" , "performance of 'Mozart Violin concerto'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1450293192897" , "http://data.open.ac.uk/led/performance/491ffaa0978662bdd3d0bae60fadd6f0/1450293177909" , "performance of 'The Rite of Spring'" , "20" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/491ffaa0978662bdd3d0bae60fadd6f0/1450292543602" , "performance of 'The Rite of Spring'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1450196624262" , "http://data.open.ac.uk/led/performance/c4a61b21881d8a03594c8809d4bf29b4/1450196606247" , "performance of 'Le sacre du printemps (1911-13)'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1434573882918" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Daphnis+et+Chlo%25C3%25A9/1434573836129/1434573836141" , "performance of 'Daphnis et Chlo��'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1408021273672" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Regimental+March+(Argyll+and+Sutherland+Highlanders)/1408021203026/1408021203034" , "performance of 'Regimental March (Argyll and Sutherland Highlanders)'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1467039937343" , "http://data.open.ac.uk/led/performance/b5afb00a0809babe5b46512913f423b1/1467039892903" , "performance of 'Deuxieme Suite'" , "22" ,
 "http://data.open.ac.uk/led/lexp/1432545050385" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Tasso/1432374284998/1432545030489" , "Tasso (, performance of)" , "12" ,
 "http://data.open.ac.uk/led/lexp/1456512941548" , "http://data.open.ac.uk/led/performance/09613042c8b3127e1f4c3682ee5ba6fd/1456512899205" , "performance of 'Susano-o and the Serpent'" , "22" ,
 "http://data.open.ac.uk/led/lexp/1425501068840" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Beethoven's+Eight+Symphony/1425512372792/1425512372804" , "performance of 'Beethoven's Eight Symphony'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1425512667568" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Schumann+Symphony/1425512633575/1425512633588" , "performance of 'Schumann Symphony'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1409693067218" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Gypsy+Airs'/1409692907642/1409692907649" , "performance of ''Gypsy Airs''" , "21" ,
 "http://data.open.ac.uk/led/lexp/1409692705710" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Violin+playing/1409692677299/1409692677308" , "performance of 'Violin playing'" , "19" ,
 "http://data.open.ac.uk/led/lexp/1409693551541" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Persinger's+reaction+to+a+performance+of+Mozart+A+Major+violin+concerto+by+a+young+Yehudi+Menuhin/1409693523017/1409693523023" , "performance of 'Persinger's reaction to a performance of Mozart A Major violin concerto by a young Yehudi Menuhin'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1434888070017" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Octuor/1434888014049/1434888014061" , "performance of 'Octuor'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1434817415102" , "http://data.open.ac.uk/led/performance/1d0b6c120608b9afdefdd7a5e5222d75/1472131200603" , "performance of 'Bugle Call Rag'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1436027487472" , "http://data.open.ac.uk/led/performance/21e974e626576a10f8a7c2edcd6c1821/1472551487977" , "performance of 'Sweet Lorraine'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1434818209645" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/jazz+horn+music/1433525395824/1434818098071" , "performance of 'jazz horn music'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1443562185625" , "http://data.open.ac.uk/led/performance/801399eb24038cfd644fd5af0a30706b/1443562122440" , "performance of 'Songs of the Hebrides'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1481833965715" , "http://data.open.ac.uk/led/performance/6da6ade0d14374913177a6a0b148b20b/1481833885261" , "performance of 'Symphonie with Voices'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1456511825496" , "http://data.open.ac.uk/led/performance/ab1463c4080f530ff9df32f15ed82a8e/1456511641451" , "performance of 'Carmen'" , "22" ,
 "http://data.open.ac.uk/led/lexp/1446720543292" , "http://data.open.ac.uk/led/performance/dfcf673faf2bb0b6be5d81692e1aba2e/1446720457364" , "performance of 'Llef'" , "19" ,
 "http://data.open.ac.uk/led/lexp/1431987236952" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Dvorak's+Cello+Concerto/1431974324408/1431987009098" , "performance of 'Dvorak's Cello Concerto'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1431987236952" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Haydn+Concerto+in+D/1431986943727/1431986943732" , "performance of 'Haydn Concerto in D'" , "11" ,
