 "perf" , "place" , "placelabel" , "lat" , "long" , "yoc" ,
 "http://data.open.ac.uk/led/performance/c3b4bab72d882d511b5790f1f187528c/1446381368854" , "http://dbpedia.org/resource/Dublin" , "Dublin" , "53.35" , "-6.26028" , "34" ,
 "http://data.open.ac.uk/led/performance/c3b4bab72d882d511b5790f1f187528c/1446381368854" , "http://dbpedia.org/resource/Dublin" , "Dublin" , "53.35" , "-6.26028" , "34" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Siegfried'/1426945792864/1426945792877" , "http://dbpedia.org/resource/Birmingham" , "Birmingham" , "52.48" , "-1.9025" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Siegfried'/1426945792864/1426945792877" , "http://dbpedia.org/resource/Birmingham" , "Birmingham" , "52.48" , "-1.9025" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Capriccio/1435675974164/1435675974176" , "http://dbpedia.org/resource/England" , "England" , "51.5" , "-0.116667" , "34" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/L'Oiseau+de+Feu/1434572960103/1435675778157" , "http://dbpedia.org/resource/England" , "England" , "51.5" , "-0.116667" , "34" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Falstaff/1413302291109/1413302291122" , "http://dbpedia.org/resource/Edinburgh" , "Edinburgh" , "55.9533" , "-3.18917" , "32" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Falstaff/1413302291109/1413302291122" , "http://dbpedia.org/resource/Edinburgh" , "Edinburgh" , "55.9533" , "-3.18917" , "32" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "43.0" , "12.0" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "43.0" , "12.0" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "43.0" , "12.4833" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "43.0" , "12.4833" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "41.9" , "12.0" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "41.9" , "12.0" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "41.9" , "12.4833" , "33" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+sonatas+for+viola+and+piano/+arrangement+for+viola+of+John+Ireland%25E2%2580%2599s+violin+sonata+in+A+minor/1424423558764/1424423558781" , "http://dbpedia.org/resource/Italy" , "Italy" , "41.9" , "12.4833" , "33" ,
 "http://data.open.ac.uk/led/performance/ec0c68ca0bbbf9c09ba96ca8d6b8f52d/1477517931125" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/ec0c68ca0bbbf9c09ba96ca8d6b8f52d/1477517931125" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Feu+d'Artifice/1435675856950/1435675856963" , "http://dbpedia.org/resource/England" , "England" , "51.5" , "-0.116667" , "34" ,
 "http://data.open.ac.uk/led/performance/La+Mort+da+Socrate+(,+performance+of)/1393949671796" , "http://dbpedia.org/resource/Paris" , "Paris" , "48.8566" , "2.35222" , "38" ,
 "http://data.open.ac.uk/led/performance/La+Mort+da+Socrate+(,+performance+of)/1393949671796" , "http://dbpedia.org/resource/Paris" , "Paris" , "48.8566" , "2.35222" , "38" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Stewelpeter/1414592170628/1414592170645" , "http://dbpedia.org/resource/Hamburg" , "Hamburg" , "53.55" , "10.0" , "38" ,
