 "lexp" , "perf" , "genre" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/7971f8bfc77ea67cbe659ca8517fb019/1450292816429" , "http://dbpedia.org/resource/Violin_concerto" , "14" ,
 "http://data.open.ac.uk/led/lexp/1464521197151" , "http://data.open.ac.uk/led/performance/ba13bbdc521ef8fe9cf9ce4c2e7c3387/1464521164207" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460128193495" , "http://data.open.ac.uk/led/performance/41960f87997b9fc1f3febe046d6c9258/1460128162950" , "http://dbpedia.org/resource/20th-century_classical_music" , "24" ,
 "http://data.open.ac.uk/led/lexp/1450293192897" , "http://data.open.ac.uk/led/performance/491ffaa0978662bdd3d0bae60fadd6f0/1450293177909" , "http://dbpedia.org/resource/Ballet_(music)" , "20" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/491ffaa0978662bdd3d0bae60fadd6f0/1450292543602" , "http://dbpedia.org/resource/Ballet_(music)" , "14" ,
 "http://data.open.ac.uk/led/lexp/1450196624262" , "http://data.open.ac.uk/led/performance/c4a61b21881d8a03594c8809d4bf29b4/1450196606247" , "http://dbpedia.org/resource/Ballet_(music)" , "21" ,
 "http://data.open.ac.uk/led/lexp/1460128193495" , "http://data.open.ac.uk/led/performance/41960f87997b9fc1f3febe046d6c9258/1460128162950" , "http://dbpedia.org/resource/Ballet_(music)" , "24" ,
 "http://data.open.ac.uk/led/lexp/1408021273672" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Regimental+March+(Argyll+and+Sutherland+Highlanders)/1408021203026/1408021203034" , "http://dbpedia.org/resource/March_(music)" , "16" ,
 "http://data.open.ac.uk/led/lexp/1402932164628" , "http://data.open.ac.uk/led/performance/A+Hundred+Pipers+(,+performance+of)/1402932075804" , "http://dbpedia.org/resource/March_(music)" , "15" ,
 "http://data.open.ac.uk/led/lexp/1450109709362" , "http://data.open.ac.uk/led/performance/31a8999c3078961c079cfa726cbca597/1450109682336" , "http://dbpedia.org/resource/Suite_(music)" , "15" ,
 "http://data.open.ac.uk/led/lexp/1467039937343" , "http://data.open.ac.uk/led/performance/b5afb00a0809babe5b46512913f423b1/1467039892903" , "http://dbpedia.org/resource/Suite_(music)" , "22" ,
 "http://data.open.ac.uk/led/lexp/1443563688737" , "http://data.open.ac.uk/led/performance/19995a43abcae68d1ac4976640f57cf1/1443563411956" , "http://data.open.ac.uk/led/musicgenre/hebridean+song" , "22" ,
 "http://data.open.ac.uk/led/lexp/1443563688737" , "http://data.open.ac.uk/led/performance/3fee4c068bff2032c813c0af297d8c6b/1443563495734" , "http://data.open.ac.uk/led/musicgenre/traditional+songs" , "22" ,
 "http://data.open.ac.uk/led/lexp/1456512941548" , "http://data.open.ac.uk/led/performance/09613042c8b3127e1f4c3682ee5ba6fd/1456512899205" , "http://dbpedia.org/resource/Traditional_Japanese_music" , "22" ,
 "http://data.open.ac.uk/led/lexp/1431987236952" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Dvorak's+Cello+Concerto/1431974324408/1431987009098" , "http://dbpedia.org/resource/Classical_music" , "11" ,
 "http://data.open.ac.uk/led/lexp/1431987236952" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Haydn+Concerto+in+D/1431986943727/1431986943732" , "http://dbpedia.org/resource/Classical_music" , "11" ,
 "http://data.open.ac.uk/led/lexp/1431987236952" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Tchaikovsky's+Variations+on+a+Rococo+Theme/1431987086305/1431987086316" , "http://dbpedia.org/resource/Classical_music" , "11" ,
 "http://data.open.ac.uk/led/lexp/1402484900240" , "http://data.open.ac.uk/led/performance/Tipperary+(,+performance+of)/1402484846713" , "http://dbpedia.org/resource/Popular_music" , "14" ,
 "http://data.open.ac.uk/led/lexp/1432982795628" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Trois+equals+for+four+trombones/1432982331590/1432982331601" , "http://dbpedia.org/resource/Instrumental" , "10" ,
 "http://data.open.ac.uk/led/lexp/1432982795628" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/March+Funebre/1432982752766/1432982752781" , "http://dbpedia.org/resource/Funeral_march" , "10" ,
 "http://data.open.ac.uk/led/lexp/1401891815381" , "http://data.open.ac.uk/led/performance/The+British+Grenadiers+(,+performance+of)/1401891611969" , "http://dbpedia.org/resource/March_(music)" , "14" ,
 "http://data.open.ac.uk/led/lexp/1447090924950" , "http://data.open.ac.uk/led/performance/5bbba18ef040060d616c8c88bb36a09d/1447090872176" , "http://dbpedia.org/resource/Coon_song" , "15" ,
 "http://data.open.ac.uk/led/lexp/1450361484800" , "http://data.open.ac.uk/led/performance/c0244a4c4c3cb01a02706c01a815c058/1450361460808" , "http://dbpedia.org/resource/Song_cycle" , "12" ,
 "http://data.open.ac.uk/led/lexp/1402915111602" , "http://data.open.ac.uk/led/performance/Auld+Lang+Syne+(,+performance+of)/1402914941460" , "http://dbpedia.org/resource/Traditional_music" , "19" ,
 "http://data.open.ac.uk/led/lexp/1432984504343" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/performance/church+anthem+(,+performance+of)/1391799241053/1432984240944" , "http://dbpedia.org/resource/Church_music" , "10" ,
 "http://data.open.ac.uk/led/lexp/1434573420345" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Petrushka/1434573397617/1434573397629" , "http://dbpedia.org/resource/Classical_music" , "10" ,
 "http://data.open.ac.uk/led/lexp/1432659496850" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Busoni's+violin+concerto/1432659470154/1432659470166" , "http://dbpedia.org/resource/Classical_music" , "12" ,
 "http://data.open.ac.uk/led/lexp/1432545479809" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Lieder/1432545460383/1432545460395" , "http://dbpedia.org/resource/Classical_music" , "12" ,
 "http://data.open.ac.uk/led/lexp/1450108653062" , "http://data.open.ac.uk/led/performance/910407f8481fb2f38e086194ab287da3/1450108597562" , "http://dbpedia.org/resource/Popular_music" , "12" ,
 "http://data.open.ac.uk/led/lexp/1449851213663" , "http://data.open.ac.uk/led/performance/41aaea89da076ac574a2972a2797df7e/1450127300823" , "http://dbpedia.org/resource/String_quartet" , "10" ,
 "http://data.open.ac.uk/led/lexp/1445896540641" , "http://data.open.ac.uk/led/performance/bbd191099ba5873e2e35339982966350/1445896468984" , "http://dbpedia.org/resource/Lied" , "12" ,
 "http://data.open.ac.uk/led/lexp/1432545479809" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Lieder/1432545460383/1432545460395" , "http://dbpedia.org/resource/Lied" , "12" ,
 "http://data.open.ac.uk/led/lexp/1445794529158" , "http://data.open.ac.uk/led/performance/8de212cbda6fabe32b4cd20189591989/1445794335433" , "http://dbpedia.org/resource/Romantic_music" , "10" ,
 "http://data.open.ac.uk/led/lexp/1445795228144" , "http://data.open.ac.uk/led/performance/e5a3c3b75b0456989ca889653266ec0d/1445795075331" , "http://dbpedia.org/resource/Romantic_music" , "10" ,
 "http://data.open.ac.uk/led/lexp/1434573882918" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Daphnis+et+Chlo%25C3%25A9/1434573836129/1434573836141" , "http://dbpedia.org/resource/Ballet_(music)" , "10" ,
 "http://data.open.ac.uk/led/lexp/1445894543901" , "http://data.open.ac.uk/led/performance/e15c0adde0f1ee3db81e4ec03e74eb4a/1445894484427" , "http://data.open.ac.uk/led/musicgenre/romantic+song" , "10" ,
 "http://data.open.ac.uk/led/lexp/1445894543901" , "http://data.open.ac.uk/led/performance/58b945042ef57e02e364770b38de0bf1/1445894402147" , "http://data.open.ac.uk/led/musicgenre/romantic+song" , "10" ,
 "http://data.open.ac.uk/led/lexp/1445894543901" , "http://data.open.ac.uk/led/performance/c67353c5d8db83e2c5209bc6d1f68468/1445894123187" , "http://data.open.ac.uk/led/musicgenre/romantic+song" , "10" ,
 "http://data.open.ac.uk/led/lexp/1432545050385" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Tasso/1432374284998/1432545030489" , "http://dbpedia.org/resource/Symphonic_poem" , "12" ,
 "http://data.open.ac.uk/led/lexp/1464553302486" , "http://data.open.ac.uk/led/performance/55677ba36e0dacd57351cd70c1ad8b2d/1464553265921" , "http://dbpedia.org/resource/Symphony" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464553302486" , "http://data.open.ac.uk/led/performance/55677ba36e0dacd57351cd70c1ad8b2d/1464553265921" , "http://dbpedia.org/resource/Romantic_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464557654752" , "http://data.open.ac.uk/led/performance/13ddcd01115374969f89a8a2e8ead074/1464557626235" , "http://dbpedia.org/resource/Piano_concerto" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464553302486" , "http://data.open.ac.uk/led/performance/9ff6c9e56f5c174fcc10eed8e58e1b34/1464553188931" , "http://dbpedia.org/resource/Piano_concerto" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464557654752" , "http://data.open.ac.uk/led/performance/13ddcd01115374969f89a8a2e8ead074/1464557626235" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464553302486" , "http://data.open.ac.uk/led/performance/9ff6c9e56f5c174fcc10eed8e58e1b34/1464553188931" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464303196822" , "http://data.open.ac.uk/led/performance/548aaa7e18d1cc6f8bdaf1159b42b06e/1464303160090" , "http://dbpedia.org/resource/Symphony" , "25" ,
