" ""lexp"" , ""label"" , ""genre"" , ""when"" , ""medium"" ,"
" ""http://data.open.ac.uk/led/lexp/1438197212985"" , ""performance of 'Arabella'"" , ""http://data.open.ac.uk/led/music/Arabella/1438197209283"" , ""9 November, 1934"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1438195560800"" , ""performance of 'Aida'"" , ""http://data.open.ac.uk/led/music/Aida/1439069799811"" , ""28 October, 1934"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1448288414272"" , ""performance of 'Opera'"" , ""http://data.open.ac.uk/led/music/Opera/1448288379563"" , ""1951"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1438270926016"" , ""performance of 'unspecified'"" , ""http://data.open.ac.uk/led/music/unspecified/1438270887287"" , ""7 February, 1935"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1438248401257"" , ""performance of 'Lohengrin'"" , ""http://musicbrainz.org/work/1d774427-c5f5-4bc9-9fd6-040f8ff4381c#_"" , ""25 November, 1934"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1442317838141"" , ""performance of 'church music'"" , ""http://data.open.ac.uk/led/music/church+music/1395763852904"" , ""11 August, 1947"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1438108728723"" , ""performance of 'Piano Concerto No. 2 in F minor, Op. 21'"" , ""http://data.open.ac.uk/led/music/Piano+Concerto+No.+2+in+F+minor,+Op.+21/1438108686014"" , ""19 June, 1934"" , ""http://led.kmi.open.ac.uk/term/Medium.Broadcast"" ,"
" ""http://data.open.ac.uk/led/lexp/1446381701360"" , ""performance of 'Figaro'"" , ""http://data.open.ac.uk/led/music/Nozze+di+Figaro/1431604271341"" , ""8 June, 1934"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
" ""http://data.open.ac.uk/led/lexp/1435271059314"" , ""performance of 'Overture to Die Meistersinger von Nurnberg'"" , ""http://data.open.ac.uk/led/music/Overture+to+Die+Meistersinger+von+Nurnberg/1386684798250"" , ""12 February, 1933"" , ""http://led.kmi.open.ac.uk/term/Medium.Broadcast"" ,"
" ""http://data.open.ac.uk/led/lexp/1435696682269"" , ""performance of 'Piano Concerto No. 2'"" , ""http://data.open.ac.uk/led/music/Piano+Concerto+No.+2/1435696638632"" , ""9 May, 1933, 03:00 PM"" , ""http://led.kmi.open.ac.uk/term/Medium.Live"" ,"
