" ""lexp"" ";" ""perf"" ";" ""label"" ";" ""genre"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1437922749490"" ";" ""http://data.open.ac.uk/led/performance/be9bc7f572631385ef79fcd8db73d7ce/1437922677926"" ";" ""performance of ''Nuages' and 'F��tes' from Nocturnes for orchestra'"" ";" ""http://data.open.ac.uk/led/music/'Nuages'+and+'F%C3%AAtes'+from+Nocturnes+for+orchestra/1437922677919"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438253320162"" ";" ""http://data.open.ac.uk/led/performance/cf2aafe07bd4e8f50b0ab8610236628d/1438253154501"" ";" ""performance of 'Two Psalms'"" ";" ""http://data.open.ac.uk/led/music/Two+Psalms/1414586272925"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438269214841"" ";" ""http://data.open.ac.uk/led/performance/e4495a422143183ed241abb1db7f1e35/1438269125887"" ";" ""performance of 'Capriccio Italien'"" ";" ""http://data.open.ac.uk/led/music/Capriccio+Italien/1438269125830"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1437905181574"" ";" ""http://data.open.ac.uk/led/performance/fb18dfb99818a8ebbccfd4023c522e66/1437905121908"" ";" ""performance of 'Trio No. 2 for strings'"" ";" ""http://data.open.ac.uk/led/music/Trio+No.+2+for+strings/1437905121893"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1437922167593"" ";" ""http://data.open.ac.uk/led/performance/fcb61b32b63b6f41a82213fef86c6776/1437922163428"" ";" ""performance of 'Wozzeck'"" ";" ""http://data.open.ac.uk/led/music/Wozzeck/1437922163393"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434400346541"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Aus+mein+Lieben/1434400297834/1434400297880"" ";" ""performance of 'Aus mein Lieben'"" ";" ""http://data.open.ac.uk/led/music/Aus+mein+Lieben/1434400297834"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434290365244"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Comedy+Overture";"+Op.+38/1434290298549/1434290298554"" ";" ""performance of 'Comedy Overture";" Op. 38'"" ";" ""http://data.open.ac.uk/led/music/Comedy+Overture";"+Op.+38/1434290298549"" ";;;;;;
" ""http://data.open.ac.uk/led/lexp/1434664044711"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Concertino/1434663823762/1434663823768"" ";" ""performance of 'Concertino'"" ";" ""http://data.open.ac.uk/led/music/Concertino/1434663823762"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1435272809050"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Daphnis+et+Chlo%25C3%25A9/1435272753222/1435272762008"" ";" ""performance of 'Daphnis et Chlo��'"" ";" ""http://data.open.ac.uk/led/music/Daphnis+et+Chlo%C3%A9/1434573836129"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434288754271"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Die+Meistersinger/1431120571182/1434288734131"" ";" ""performance of 'Die Meistersinger'"" ";" ""http://data.open.ac.uk/led/music/Die+Meistersinger/1431120571182"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434664044711"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Fa%25C3%25A7ade/1434663997954/1434663997961"" ";" ""performance of 'Fa��ade'"" ";" ""http://data.open.ac.uk/led/music/Fa%C3%A7ade/1437497566580"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434664044711"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Four+Beggar+Songs/1434663862905/1434663862910"" ";" ""performance of 'Four Beggar Songs'"" ";" ""http://data.open.ac.uk/led/music/Four+Beggar+Songs/1434663862905"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434400346541"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Idylls/1434400312365/1434400312382"" ";" ""performance of 'Idylls'"" ";" ""http://data.open.ac.uk/led/music/Idylls/1434400312365"" ";;;;;;;;;
